id,pressure,x,y,z
0,-2.5115514044111e-12,0,0.5,0
0.01,-2.5115514044111e-12,0.01,0.5,0
0.02,-2.6804738482143e-12,0.02,0.5,0
0.03,-3.0716435737999e-12,0.03,0.5,0
0.04,-3.0002853108504e-12,0.04,0.5,0
0.05,-2.8973204102705e-12,0.05,0.5,0
0.06,-2.9887991422119e-12,0.06,0.5,0
0.07,-2.9030326575738e-12,0.07,0.5,0
0.08,-2.8828573453477e-12,0.08,0.5,0
0.09,-3.0871419594555e-12,0.09,0.5,0
0.1,-3.1241687985306e-12,0.1,0.5,0
0.11,-3.0534315636568e-12,0.11,0.5,0
0.12,-2.8695191995807e-12,0.12,0.5,0
0.13,-2.9635764788489e-12,0.13,0.5,0
0.14,-3.1060983633169e-12,0.14,0.5,0
0.15,-3.0571160409785e-12,0.15,0.5,0
0.16,-3.1530977460338e-12,0.16,0.5,0
0.17,-2.981448033249e-12,0.17,0.5,0
0.18,-2.9659806508848e-12,0.18,0.5,0
0.19,-2.9400470776429e-12,0.19,0.5,0
0.2,-3.0020687726654e-12,0.2,0.5,0
0.21,-3.013988023761e-12,0.21,0.5,0
0.22,-3.0291584791516e-12,0.22,0.5,0
0.23,-2.9973238578477e-12,0.23,0.5,0
0.24,-2.8345778225767e-12,0.24,0.5,0
0.25,-2.6972840594011e-12,0.25,0.5,0
0.26,-2.7861641506604e-12,0.26,0.5,0
0.27,-2.775118164258e-12,0.27,0.5,0
0.28,-3.1282133697422e-12,0.28,0.5,0
0.29,-3.257051085281e-12,0.29,0.5,0
0.3,-3.3097709171184e-12,0.3,0.5,0
0.31,-2.9927454296702e-12,0.31,0.5,0
0.32,-3.0082606415084e-12,0.32,0.5,0
0.33,-3.153918326684e-12,0.33,0.5,0
0.34,-3.1169007025304e-12,0.34,0.5,0
0.35,-2.8576041142468e-12,0.35,0.5,0
0.36,-2.8285102370351e-12,0.36,0.5,0
0.37,-2.8585901188839e-12,0.37,0.5,0
0.38,-3.1853078995116e-12,0.38,0.5,0
0.39,-3.2262690513511e-12,0.39,0.5,0
0.4,-2.9145369202216e-12,0.4,0.5,0
0.41,-2.7904718772334e-12,0.41,0.5,0
0.42,-2.7763112775587e-12,0.42,0.5,0
0.43,-2.9762726185259e-12,0.43,0.5,0
0.44,-2.9349460277877e-12,0.44,0.5,0
0.45,-3.0402623327407e-12,0.45,0.5,0
0.46,-3.202488971287e-12,0.46,0.5,0
0.47,-3.022642354295e-12,0.47,0.5,0
0.48,-3.0187427197802e-12,0.48,0.5,0
0.49,-2.921808168837e-12,0.49,0.5,0
0.5,-2.9421361208894e-12,0.5,0.5,0
0.51,-3.1261247965146e-12,0.51,0.5,0
0.52,-3.0647376929621e-12,0.52,0.5,0
0.53,-3.2311002077639e-12,0.53,0.5,0
0.54,-2.992525159151e-12,0.54,0.5,0
0.55,-3.0693368069307e-12,0.55,0.5,0
0.56,-3.0765799242584e-12,0.56,0.5,0
0.57,-3.2199364013988e-12,0.57,0.5,0
0.58,-3.2207260359789e-12,0.58,0.5,0
0.59,-3.236564688966e-12,0.59,0.5,0
0.6,-3.2815733391621e-12,0.6,0.5,0
0.61,-3.2274897789343e-12,0.61,0.5,0
0.62,-2.9330584283379e-12,0.62,0.5,0
0.63,-3.0769965844371e-12,0.63,0.5,0
0.64,-3.0030502541482e-12,0.64,0.5,0
0.65,-2.9666972590057e-12,0.65,0.5,0
0.66,-2.8802143572829e-12,0.66,0.5,0
0.67,-2.8145688698721e-12,0.67,0.5,0
0.68,-3.1955943660063e-12,0.68,0.5,0
0.69,-3.2619309035529e-12,0.69,0.5,0
0.7,-3.1293117254837e-12,0.7,0.5,0
0.71,-3.1686488792018e-12,0.71,0.5,0
0.72,-3.5460495463572e-12,0.72,0.5,0
