id,pressure,x,y,z
0,2.0281355292009e-11,0,0.5,0
0.01,2.0281355292009e-11,0.01,0.5,0
0.02,2.0281355292009e-11,0.02,0.5,0
0.03,2.0281355292009e-11,0.03,0.5,0
0.04,2.0281355292009e-11,0.04,0.5,0
0.05,2.031823937063e-11,0.05,0.5,0
0.06,2.031823937063e-11,0.06,0.5,0
0.07,2.031823937063e-11,0.07,0.5,0
0.08,2.031823937063e-11,0.08,0.5,0
0.09,2.0352284518515e-11,0.09,0.5,0
0.1,2.0352284518515e-11,0.1,0.5,0
0.11,2.0352284518515e-11,0.11,0.5,0
0.12,2.0352284518515e-11,0.12,0.5,0
0.13,2.0342428151287e-11,0.13,0.5,0
0.14,2.0342428151287e-11,0.14,0.5,0
0.15,2.0342428151287e-11,0.15,0.5,0
0.16,2.0342428151287e-11,0.16,0.5,0
0.17,2.0474268520877e-11,0.17,0.5,0
0.18,2.0474268520877e-11,0.18,0.5,0
0.19,2.0474268520877e-11,0.19,0.5,0
0.2,2.0474268520877e-11,0.2,0.5,0
0.21,2.0546906429278e-11,0.21,0.5,0
0.22,2.0546906429278e-11,0.22,0.5,0
0.23,2.0546906429278e-11,0.23,0.5,0
0.24,2.0546906429278e-11,0.24,0.5,0
0.25,2.0600029555929e-11,0.25,0.5,0
0.26,2.0600029555929e-11,0.26,0.5,0
0.27,2.0600029555929e-11,0.27,0.5,0
0.28,2.0600029555929e-11,0.28,0.5,0
0.29,2.062458244843e-11,0.29,0.5,0
0.3,2.062458244843e-11,0.3,0.5,0
0.31,2.062458244843e-11,0.31,0.5,0
0.32,2.062458244843e-11,0.32,0.5,0
0.33,2.0749378774691e-11,0.33,0.5,0
0.34,2.0749378774691e-11,0.34,0.5,0
0.35,2.0749378774691e-11,0.35,0.5,0
0.36,2.0749378774691e-11,0.36,0.5,0
0.37,2.0784878489593e-11,0.37,0.5,0
0.38,2.0784878489593e-11,0.38,0.5,0
0.39,2.0784878489593e-11,0.39,0.5,0
0.4,2.0784878489593e-11,0.4,0.5,0
0.41,2.0878652239501e-11,0.41,0.5,0
0.42,2.0878652239501e-11,0.42,0.5,0
0.43,2.0878652239501e-11,0.43,0.5,0
0.44,2.0878652239501e-11,0.44,0.5,0
0.45,2.0888532336395e-11,0.45,0.5,0
0.46,2.0888532336395e-11,0.46,0.5,0
0.47,2.0888532336395e-11,0.47,0.5,0
0.48,2.0888532336395e-11,0.48,0.5,0
0.49,2.0932110234602e-11,0.49,0.5,0
0.5,2.0932110234602e-11,0.5,0.5,0
0.51,2.0932110234602e-11,0.51,0.5,0
0.52,2.0932110234602e-11,0.52,0.5,0
0.53,2.0951017974432e-11,0.53,0.5,0
0.54,2.0951017974432e-11,0.54,0.5,0
0.55,2.0951017974432e-11,0.55,0.5,0
0.56,2.0951017974432e-11,0.56,0.5,0
0.57,2.1034456506344e-11,0.57,0.5,0
0.58,2.1034456506344e-11,0.58,0.5,0
0.59,2.1034456506344e-11,0.59,0.5,0
0.6,2.1034456506344e-11,0.6,0.5,0
0.61,2.1224273204094e-11,0.61,0.5,0
0.62,2.1224273204094e-11,0.62,0.5,0
0.63,2.1224273204094e-11,0.63,0.5,0
0.64,2.1224273204094e-11,0.64,0.5,0
0.65,2.1348337887971e-11,0.65,0.5,0
0.66,2.1348337887971e-11,0.66,0.5,0
0.67,2.1348337887971e-11,0.67,0.5,0
0.68,2.1348337887971e-11,0.68,0.5,0
0.69,2.1389486311447e-11,0.69,0.5,0
0.7,2.1389486311447e-11,0.7,0.5,0
0.71,2.1389486311447e-11,0.71,0.5,0
0.72,2.1389486311447e-11,0.72,0.5,0
0.73,2.1553604480837e-11,0.73,0.5,0
0.74,2.1553604480837e-11,0.74,0.5,0
0.75,2.1553604480837e-11,0.75,0.5,0
0.76,2.1553604480837e-11,0.76,0.5,0
0.77,2.1621374698476e-11,0.77,0.5,0
0.78,2.1621374698476e-11,0.78,0.5,0
0.79,2.1621374698476e-11,0.79,0.5,0
0.8,2.1621374698476e-11,0.8,0.5,0
0.81,2.1979942012342e-11,0.81,0.5,0
0.82,2.1979942012342e-11,0.82,0.5,0
0.83,2.1979942012342e-11,0.83,0.5,0
0.84,2.1979942012342e-11,0.84,0.5,0
0.85,2.2508377883564e-11,0.85,0.5,0
0.86,2.2508377883564e-11,0.86,0.5,0
0.87,2.2508377883564e-11,0.87,0.5,0
0.88,2.2508377883564e-11,0.88,0.5,0
0.89,2.4423705441264e-11,0.89,0.5,0
0.9,2.4423705441264e-11,0.9,0.5,0
0.91,2.4423705441264e-11,0.91,0.5,0
0.92,2.4423705441264e-11,0.92,0.5,0
0.93,2.5040963891252e-11,0.93,0.5,0
0.94,2.5040963891252e-11,0.94,0.5,0
0.95,2.5040963891252e-11,0.95,0.5,0
0.96,2.5040963891252e-11,0.96,0.5,0
0.97,2.7108464548831e-11,0.97,0.5,0
0.98,2.7108464548831e-11,0.98,0.5,0
0.99,2.7108464548831e-11,0.99,0.5,0
1,2.7108464548831e-11,1,0.5,0
1.01,-1499.9999998582,1.01,0.5,0
1.02,-1499.9999998582,1.02,0.5,0
1.03,-1499.9999998582,1.03,0.5,0
1.04,-1499.9999998582,1.04,0.5,0
1.05,-1499.9999998581,1.05,0.5,0
1.06,-1499.9999998581,1.06,0.5,0
1.07,-1499.9999998581,1.07,0.5,0
1.08,-1499.9999998581,1.08,0.5,0
1.09,-1499.9999998582,1.09,0.5,0
1.1,-1499.9999998582,1.1,0.5,0
1.11,-1499.9999998582,1.11,0.5,0
1.12,-1499.9999998582,1.12,0.5,0
1.13,-1499.9999998582,1.13,0.5,0
1.14,-1499.9999998582,1.14,0.5,0
1.15,-1499.9999998582,1.15,0.5,0
1.16,-1499.9999998582,1.16,0.5,0
1.17,-1499.9999998582,1.17,0.5,0
1.18,-1499.9999998582,1.18,0.5,0
1.19,-1499.9999998582,1.19,0.5,0
1.2,-1499.9999998582,1.2,0.5,0
1.21,-1499.9999998582,1.21,0.5,0
1.22,-1499.9999998582,1.22,0.5,0
1.23,-1499.9999998582,1.23,0.5,0
1.24,-1499.9999998582,1.24,0.5,0
1.25,-1499.9999998582,1.25,0.5,0
1.26,-1499.9999998582,1.26,0.5,0
1.27,-1499.9999998582,1.27,0.5,0
1.28,-1499.9999998582,1.28,0.5,0
1.29,-1499.9999998582,1.29,0.5,0
1.3,-1499.9999998582,1.3,0.5,0
1.31,-1499.9999998582,1.31,0.5,0
1.32,-1499.9999998582,1.32,0.5,0
1.33,-1499.9999998582,1.33,0.5,0
1.34,-1499.9999998582,1.34,0.5,0
1.35,-1499.9999998582,1.35,0.5,0
1.36,-1499.9999998582,1.36,0.5,0
1.37,-1499.9999998582,1.37,0.5,0
1.38,-1499.9999998582,1.38,0.5,0
1.39,-1499.9999998582,1.39,0.5,0
1.4,-1499.9999998582,1.4,0.5,0
1.41,-1499.9999998582,1.41,0.5,0
1.42,-1499.9999998582,1.42,0.5,0
1.43,-1499.9999998582,1.43,0.5,0
1.44,-1499.9999998582,1.44,0.5,0
1.45,-1499.9999998582,1.45,0.5,0
1.46,-1499.9999998582,1.46,0.5,0
1.47,-1499.9999998582,1.47,0.5,0
1.48,-1499.9999998582,1.48,0.5,0
1.49,-1499.9999998582,1.49,0.5,0
1.5,-1499.9999998582,1.5,0.5,0
1.51,-1499.9999998582,1.51,0.5,0
1.52,-1499.9999998582,1.52,0.5,0
1.53,-1499.9999998582,1.53,0.5,0
1.54,-1499.9999998582,1.54,0.5,0
1.55,-1499.9999998582,1.55,0.5,0
1.56,-1499.9999998582,1.56,0.5,0
1.57,-1499.9999998582,1.57,0.5,0
1.58,-1499.9999998582,1.58,0.5,0
1.59,-1499.9999998582,1.59,0.5,0
1.6,-1499.9999998582,1.6,0.5,0
1.61,-1499.9999998582,1.61,0.5,0
1.62,-1499.9999998582,1.62,0.5,0
1.63,-1499.9999998582,1.63,0.5,0
1.64,-1499.9999998582,1.64,0.5,0
1.65,-1499.9999998582,1.65,0.5,0
1.66,-1499.9999998582,1.66,0.5,0
1.67,-1499.9999998582,1.67,0.5,0
1.68,-1499.9999998582,1.68,0.5,0
1.69,-1499.9999998582,1.69,0.5,0
1.7,-1499.9999998582,1.7,0.5,0
1.71,-1499.9999998582,1.71,0.5,0
1.72,-1499.9999998582,1.72,0.5,0
1.73,-1499.9999998582,1.73,0.5,0
1.74,-1499.9999998582,1.74,0.5,0
1.75,-1499.9999998582,1.75,0.5,0
1.76,-1499.9999998582,1.76,0.5,0
1.77,-1499.9999998582,1.77,0.5,0
1.78,-1499.9999998582,1.78,0.5,0
1.79,-1499.9999998582,1.79,0.5,0
1.8,-1499.9999998582,1.8,0.5,0
1.81,-1499.9999998582,1.81,0.5,0
1.82,-1499.9999998582,1.82,0.5,0
1.83,-1499.9999998582,1.83,0.5,0
1.84,-1499.9999998582,1.84,0.5,0
1.85,-1499.9999998582,1.85,0.5,0
1.86,-1499.9999998582,1.86,0.5,0
1.87,-1499.9999998582,1.87,0.5,0
1.88,-1499.9999998582,1.88,0.5,0
1.89,-1499.9999998582,1.89,0.5,0
1.9,-1499.9999998582,1.9,0.5,0
1.91,-1499.9999998582,1.91,0.5,0
1.92,-1499.9999998582,1.92,0.5,0
1.93,-1499.9999998582,1.93,0.5,0
1.94,-1499.9999998582,1.94,0.5,0
1.95,-1499.9999998582,1.95,0.5,0
1.96,-1499.9999998582,1.96,0.5,0
