id,pressure,x,y,z
0,14455.157239496,0,0.5,0
0.01,14455.157239496,0.01,0.5,0
0.02,14455.157239496,0.02,0.5,0
0.03,14455.157239496,0.03,0.5,0
0.04,14455.157239496,0.04,0.5,0
0.05,14455.157239496,0.05,0.5,0
0.06,14455.157239496,0.06,0.5,0
0.07,14455.157239496,0.07,0.5,0
0.08,14455.157239496,0.08,0.5,0
0.09,14455.157239496,0.09,0.5,0
0.1,14455.157239496,0.1,0.5,0
0.11,14455.157239496,0.11,0.5,0
0.12,14455.157239496,0.12,0.5,0
0.13,14455.157239496,0.13,0.5,0
0.14,14455.157239496,0.14,0.5,0
0.15,14455.157239496,0.15,0.5,0
0.16,14455.157239496,0.16,0.5,0
0.17,14455.157239496,0.17,0.5,0
0.18,14455.157239496,0.18,0.5,0
0.19,14455.157239496,0.19,0.5,0
0.2,14455.157239496,0.2,0.5,0
0.21,14455.157239496,0.21,0.5,0
0.22,14455.157239496,0.22,0.5,0
0.23,14455.157239496,0.23,0.5,0
0.24,14455.157239496,0.24,0.5,0
0.25,14455.157239496,0.25,0.5,0
0.26,14455.157239496,0.26,0.5,0
0.27,14455.157239496,0.27,0.5,0
0.28,14455.157239496,0.28,0.5,0
0.29,14455.157239496,0.29,0.5,0
0.3,14455.157239496,0.3,0.5,0
0.31,14455.157239496,0.31,0.5,0
0.32,14455.157239496,0.32,0.5,0
0.33,14455.157239496,0.33,0.5,0
0.34,14455.157239496,0.34,0.5,0
0.35,14455.157239496,0.35,0.5,0
0.36,14455.157239496,0.36,0.5,0
0.37,14455.157239496,0.37,0.5,0
0.38,14455.157239496,0.38,0.5,0
0.39,14455.157239496,0.39,0.5,0
0.4,14455.157239496,0.4,0.5,0
0.41,14455.157239496,0.41,0.5,0
0.42,14455.157239496,0.42,0.5,0
0.43,14455.157239496,0.43,0.5,0
0.44,14455.157239496,0.44,0.5,0
0.45,14455.157239496,0.45,0.5,0
0.46,14455.157239496,0.46,0.5,0
0.47,14455.157239496,0.47,0.5,0
0.48,14455.157239496,0.48,0.5,0
0.49,14455.157239496,0.49,0.5,0
0.5,14455.157239496,0.5,0.5,0
0.51,14455.157239496,0.51,0.5,0
0.52,14455.157239496,0.52,0.5,0
0.53,14455.157239496,0.53,0.5,0
0.54,14455.157239496,0.54,0.5,0
0.55,14455.157239496,0.55,0.5,0
0.56,14455.157239496,0.56,0.5,0
0.57,14455.157239496,0.57,0.5,0
0.58,14455.157239496,0.58,0.5,0
0.59,14455.157239496,0.59,0.5,0
0.6,14455.157239496,0.6,0.5,0
0.61,14455.157239496,0.61,0.5,0
0.62,14455.157239496,0.62,0.5,0
0.63,14455.157239496,0.63,0.5,0
0.64,14455.157239496,0.64,0.5,0
0.65,14455.157239496,0.65,0.5,0
0.66,14455.157239496,0.66,0.5,0
0.67,14455.157239496,0.67,0.5,0
0.68,14455.157239496,0.68,0.5,0
0.69,14455.157239496,0.69,0.5,0
0.7,14455.157239496,0.7,0.5,0
0.71,14455.157239496,0.71,0.5,0
0.72,14455.157239496,0.72,0.5,0
0.73,14455.157239496,0.73,0.5,0
0.74,14455.157239496,0.74,0.5,0
0.75,14455.157239496,0.75,0.5,0
0.76,14455.157239496,0.76,0.5,0
0.77,14455.157239496,0.77,0.5,0
0.78,14455.157239496,0.78,0.5,0
0.79,14455.157239496,0.79,0.5,0
0.8,14455.157239496,0.8,0.5,0
0.81,14455.157239496,0.81,0.5,0
0.82,14455.157239496,0.82,0.5,0
0.83,14455.157239496,0.83,0.5,0
0.84,14455.157239496,0.84,0.5,0
0.85,14455.157239496,0.85,0.5,0
0.86,14455.157239496,0.86,0.5,0
0.87,14455.157239496,0.87,0.5,0
0.88,14455.157239496,0.88,0.5,0
0.89,14455.157239496,0.89,0.5,0
0.9,14455.157239496,0.9,0.5,0
0.91,14455.157239496,0.91,0.5,0
0.92,14455.157239496,0.92,0.5,0
0.93,14455.157239496,0.93,0.5,0
0.94,14455.157239496,0.94,0.5,0
0.95,14455.157239496,0.95,0.5,0
0.96,14455.157239496,0.96,0.5,0
0.97,14455.157239496,0.97,0.5,0
0.98,14455.157239496,0.98,0.5,0
0.99,14455.157239496,0.99,0.5,0
1,14455.157239496,1,0.5,0
1.01,12802.379461861,1.01,0.5,0
1.02,12802.379461861,1.02,0.5,0
1.03,12802.379461861,1.03,0.5,0
1.04,12802.379461861,1.04,0.5,0
1.05,12802.379461861,1.05,0.5,0
1.06,12302.379461862,1.06,0.5,0
1.07,12302.379461862,1.07,0.5,0
1.08,12302.379461862,1.08,0.5,0
1.09,12302.379461862,1.09,0.5,0
1.1,12302.379461862,1.1,0.5,0
1.11,11802.379461863,1.11,0.5,0
1.12,11802.379461863,1.12,0.5,0
1.13,11802.379461863,1.13,0.5,0
1.14,11802.379461863,1.14,0.5,0
1.15,11802.379461863,1.15,0.5,0
1.16,11302.379461865,1.16,0.5,0
1.17,11302.379461865,1.17,0.5,0
1.18,11302.379461865,1.18,0.5,0
1.19,11302.379461865,1.19,0.5,0
1.2,11302.379461865,1.2,0.5,0
1.21,10802.379461866,1.21,0.5,0
1.22,10802.379461866,1.22,0.5,0
1.23,10802.379461866,1.23,0.5,0
1.24,10802.379461866,1.24,0.5,0
1.25,10802.379461866,1.25,0.5,0
1.26,10302.379461868,1.26,0.5,0
1.27,10302.379461868,1.27,0.5,0
1.28,10302.379461868,1.28,0.5,0
1.29,10302.379461868,1.29,0.5,0
1.3,10302.379461868,1.3,0.5,0
1.31,9802.379461869,1.31,0.5,0
1.32,9802.379461869,1.32,0.5,0
1.33,9802.379461869,1.33,0.5,0
1.34,9802.379461869,1.34,0.5,0
1.35,9802.379461869,1.35,0.5,0
1.36,9302.3794618705,1.36,0.5,0
1.37,9302.3794618705,1.37,0.5,0
1.38,9302.3794618705,1.38,0.5,0
1.39,9302.3794618705,1.39,0.5,0
