id,pressure,x,y,z
0,24927.679552693,0,0.5,0
0.01,24927.679552693,0.01,0.5,0
0.02,24927.679552693,0.02,0.5,0
0.03,24927.679552693,0.03,0.5,0
0.04,24927.679552693,0.04,0.5,0
0.05,24927.679552693,0.05,0.5,0
0.06,24927.679552693,0.06,0.5,0
0.07,24927.679552693,0.07,0.5,0
0.08,24927.679552693,0.08,0.5,0
0.09,24927.679552693,0.09,0.5,0
0.1,24927.679552693,0.1,0.5,0
0.11,24927.679552693,0.11,0.5,0
0.12,24927.679552693,0.12,0.5,0
0.13,24927.679552693,0.13,0.5,0
0.14,24927.679552693,0.14,0.5,0
0.15,24927.679552693,0.15,0.5,0
0.16,24927.679552693,0.16,0.5,0
0.17,24927.679552693,0.17,0.5,0
0.18,24927.679552693,0.18,0.5,0
0.19,24927.679552693,0.19,0.5,0
0.2,24927.679552693,0.2,0.5,0
0.21,24927.679552693,0.21,0.5,0
0.22,24927.679552693,0.22,0.5,0
0.23,24927.679552693,0.23,0.5,0
0.24,24927.679552693,0.24,0.5,0
0.25,24927.679552693,0.25,0.5,0
0.26,24927.679552693,0.26,0.5,0
0.27,24927.679552693,0.27,0.5,0
0.28,24927.679552693,0.28,0.5,0
0.29,24927.679552693,0.29,0.5,0
0.3,24927.679552693,0.3,0.5,0
0.31,24927.679552693,0.31,0.5,0
0.32,24927.679552693,0.32,0.5,0
0.33,24927.679552693,0.33,0.5,0
0.34,24927.679552693,0.34,0.5,0
0.35,24927.679552693,0.35,0.5,0
0.36,24927.679552693,0.36,0.5,0
0.37,24927.679552693,0.37,0.5,0
0.38,24927.679552693,0.38,0.5,0
0.39,24927.679552693,0.39,0.5,0
0.4,24927.679552693,0.4,0.5,0
0.41,24927.679552693,0.41,0.5,0
0.42,24927.679552693,0.42,0.5,0
0.43,24927.679552693,0.43,0.5,0
0.44,24927.679552693,0.44,0.5,0
0.45,24927.679552693,0.45,0.5,0
0.46,24927.679552693,0.46,0.5,0
0.47,24927.679552693,0.47,0.5,0
0.48,24927.679552693,0.48,0.5,0
0.49,24927.679552693,0.49,0.5,0
0.5,24927.679552693,0.5,0.5,0
0.51,24927.679552693,0.51,0.5,0
0.52,24927.679552693,0.52,0.5,0
0.53,24927.679552693,0.53,0.5,0
0.54,24927.679552693,0.54,0.5,0
0.55,24927.679552693,0.55,0.5,0
0.56,24927.679552693,0.56,0.5,0
0.57,24927.679552693,0.57,0.5,0
0.58,24927.679552693,0.58,0.5,0
0.59,24927.679552693,0.59,0.5,0
0.6,24927.679552693,0.6,0.5,0
0.61,24927.679552693,0.61,0.5,0
0.62,24927.679552693,0.62,0.5,0
0.63,24927.679552693,0.63,0.5,0
0.64,24927.679552693,0.64,0.5,0
0.65,24927.679552693,0.65,0.5,0
0.66,24927.679552693,0.66,0.5,0
0.67,24927.679552693,0.67,0.5,0
0.68,24927.679552693,0.68,0.5,0
0.69,24927.679552693,0.69,0.5,0
0.7,24927.679552693,0.7,0.5,0
0.71,24927.679552693,0.71,0.5,0
0.72,24927.679552693,0.72,0.5,0
0.73,24927.679552693,0.73,0.5,0
0.74,24927.679552693,0.74,0.5,0
0.75,24927.679552693,0.75,0.5,0
0.76,24927.679552693,0.76,0.5,0
0.77,24927.679552693,0.77,0.5,0
0.78,24927.679552693,0.78,0.5,0
0.79,24927.679552693,0.79,0.5,0
0.8,24927.679552693,0.8,0.5,0
0.81,24927.679552693,0.81,0.5,0
0.82,24927.679552693,0.82,0.5,0
0.83,24927.679552693,0.83,0.5,0
0.84,24927.679552693,0.84,0.5,0
0.85,24927.679552693,0.85,0.5,0
0.86,24927.679552693,0.86,0.5,0
0.87,24927.679552693,0.87,0.5,0
0.88,24927.679552693,0.88,0.5,0
0.89,24927.679552693,0.89,0.5,0
0.9,24927.679552693,0.9,0.5,0
0.91,24927.679552693,0.91,0.5,0
0.92,24927.679552693,0.92,0.5,0
0.93,24927.679552693,0.93,0.5,0
0.94,24927.679552693,0.94,0.5,0
0.95,24927.679552693,0.95,0.5,0
0.96,24927.679552693,0.96,0.5,0
0.97,24927.679552693,0.97,0.5,0
0.98,24927.679552693,0.98,0.5,0
0.99,24927.679552693,0.99,0.5,0
1,24927.679552693,1,0.5,0
1.01,17427.679552693,1.01,0.5,0
1.02,17327.679552693,1.02,0.5,0
1.03,17227.679552693,1.03,0.5,0
1.04,17127.679552693,1.04,0.5,0
1.05,17027.679552693,1.05,0.5,0
1.06,16927.679552693,1.06,0.5,0
1.07,16827.679552693,1.07,0.5,0
1.08,16727.679552693,1.08,0.5,0
1.09,16627.679552693,1.09,0.5,0
1.1,16527.679552693,1.1,0.5,0
1.11,16427.679552693,1.11,0.5,0
1.12,16327.679552693,1.12,0.5,0
1.13,16227.679552693,1.13,0.5,0
1.14,16127.679552693,1.14,0.5,0
1.15,16027.679552693,1.15,0.5,0
1.16,15927.679552693,1.16,0.5,0
1.17,15827.679552693,1.17,0.5,0
1.18,15727.679552693,1.18,0.5,0
1.19,15627.679552693,1.19,0.5,0
1.2,15527.679552693,1.2,0.5,0
1.21,15427.679552693,1.21,0.5,0
1.22,15327.679552693,1.22,0.5,0
1.23,15227.679552693,1.23,0.5,0
1.24,15127.679552693,1.24,0.5,0
1.25,15027.679552693,1.25,0.5,0
1.26,14927.679552693,1.26,0.5,0
1.27,14827.679552693,1.27,0.5,0
1.28,14727.679552693,1.28,0.5,0
1.29,14627.679552693,1.29,0.5,0
1.3,14527.679552693,1.3,0.5,0
1.31,14427.679552693,1.31,0.5,0
1.32,14327.679552693,1.32,0.5,0
1.33,14227.679552693,1.33,0.5,0
1.34,14127.679552693,1.34,0.5,0
1.35,14027.679552693,1.35,0.5,0
1.36,13927.679552693,1.36,0.5,0
1.37,13827.679552693,1.37,0.5,0
1.38,13727.679552693,1.38,0.5,0
1.39,13627.679552693,1.39,0.5,0
1.4,13527.679552693,1.4,0.5,0
1.41,13427.679552693,1.41,0.5,0
1.42,13327.679552693,1.42,0.5,0
1.43,13227.679552693,1.43,0.5,0
1.44,13127.679552693,1.44,0.5,0
1.45,13027.679552693,1.45,0.5,0
1.46,12927.679552693,1.46,0.5,0
1.47,12827.679552693,1.47,0.5,0
1.48,12727.679552693,1.48,0.5,0
1.49,12627.679552693,1.49,0.5,0
1.5,12527.679552693,1.5,0.5,0
1.51,12427.679552693,1.51,0.5,0
1.52,12327.679552693,1.52,0.5,0
1.53,12227.679552693,1.53,0.5,0
1.54,12127.679552693,1.54,0.5,0
1.55,12027.679552693,1.55,0.5,0
1.56,11927.679552693,1.56,0.5,0
1.57,11827.679552693,1.57,0.5,0
1.58,11727.679552693,1.58,0.5,0
1.59,11627.679552693,1.59,0.5,0
1.6,11527.679552693,1.6,0.5,0
1.61,11427.679552693,1.61,0.5,0
1.62,11327.679552693,1.62,0.5,0
1.63,11227.679552693,1.63,0.5,0
1.64,11127.679552693,1.64,0.5,0
1.65,11027.679552693,1.65,0.5,0
1.66,10927.679552693,1.66,0.5,0
1.67,10827.679552693,1.67,0.5,0
1.68,10727.679552693,1.68,0.5,0
1.69,10627.679552693,1.69,0.5,0
1.7,10527.679552693,1.7,0.5,0
1.71,10427.679552693,1.71,0.5,0
1.72,10327.679552693,1.72,0.5,0
1.73,10227.679552693,1.73,0.5,0
1.74,10127.679552693,1.74,0.5,0
1.75,10027.679552693,1.75,0.5,0
1.76,9927.6795526933,1.76,0.5,0
1.77,9827.6795526933,1.77,0.5,0
1.78,9727.6795526933,1.78,0.5,0
1.79,9627.6795526933,1.79,0.5,0
1.8,9527.6795526933,1.8,0.5,0
1.81,9427.6795526933,1.81,0.5,0
1.82,9327.6795526933,1.82,0.5,0
