id,pressure,x,y,z
0,24995.27393934,0,0.5,0
0.01,24995.27393934,0.01,0.5,0
0.02,24995.27393934,0.02,0.5,0
0.03,24995.27393934,0.03,0.5,0
0.04,24995.27393934,0.04,0.5,0
0.05,24995.27393934,0.05,0.5,0
0.06,24995.27393934,0.06,0.5,0
0.07,24995.27393934,0.07,0.5,0
0.08,24995.27393934,0.08,0.5,0
0.09,24995.27393934,0.09,0.5,0
0.1,24995.27393934,0.1,0.5,0
0.11,24995.27393934,0.11,0.5,0
0.12,24995.27393934,0.12,0.5,0
0.13,24995.27393934,0.13,0.5,0
0.14,24995.27393934,0.14,0.5,0
0.15,24995.27393934,0.15,0.5,0
0.16,24995.27393934,0.16,0.5,0
0.17,24995.27393934,0.17,0.5,0
0.18,24995.27393934,0.18,0.5,0
0.19,24995.27393934,0.19,0.5,0
0.2,24995.27393934,0.2,0.5,0
0.21,24995.27393934,0.21,0.5,0
0.22,24995.27393934,0.22,0.5,0
0.23,24995.27393934,0.23,0.5,0
0.24,24995.27393934,0.24,0.5,0
0.25,24995.27393934,0.25,0.5,0
0.26,24995.27393934,0.26,0.5,0
0.27,24995.27393934,0.27,0.5,0
0.28,24995.27393934,0.28,0.5,0
0.29,24995.27393934,0.29,0.5,0
0.3,24995.27393934,0.3,0.5,0
0.31,24995.27393934,0.31,0.5,0
0.32,24995.27393934,0.32,0.5,0
0.33,24995.27393934,0.33,0.5,0
0.34,24995.27393934,0.34,0.5,0
0.35,24995.27393934,0.35,0.5,0
0.36,24995.27393934,0.36,0.5,0
0.37,24995.27393934,0.37,0.5,0
0.38,24995.27393934,0.38,0.5,0
0.39,24995.27393934,0.39,0.5,0
0.4,24995.27393934,0.4,0.5,0
0.41,24995.27393934,0.41,0.5,0
0.42,24995.27393934,0.42,0.5,0
0.43,24995.27393934,0.43,0.5,0
0.44,24995.27393934,0.44,0.5,0
0.45,24995.27393934,0.45,0.5,0
0.46,24995.27393934,0.46,0.5,0
0.47,24995.27393934,0.47,0.5,0
0.48,24995.27393934,0.48,0.5,0
0.49,24995.27393934,0.49,0.5,0
0.5,24995.27393934,0.5,0.5,0
0.51,24995.27393934,0.51,0.5,0
0.52,24995.27393934,0.52,0.5,0
0.53,24995.27393934,0.53,0.5,0
0.54,24995.27393934,0.54,0.5,0
0.55,24995.27393934,0.55,0.5,0
0.56,24995.27393934,0.56,0.5,0
0.57,24995.27393934,0.57,0.5,0
0.58,24995.27393934,0.58,0.5,0
0.59,24995.27393934,0.59,0.5,0
0.6,24995.27393934,0.6,0.5,0
0.61,24995.27393934,0.61,0.5,0
0.62,24995.27393934,0.62,0.5,0
0.63,24995.27393934,0.63,0.5,0
0.64,24995.27393934,0.64,0.5,0
0.65,24995.27393934,0.65,0.5,0
0.66,24995.27393934,0.66,0.5,0
0.67,24995.27393934,0.67,0.5,0
0.68,24995.27393934,0.68,0.5,0
0.69,24995.27393934,0.69,0.5,0
0.7,24995.27393934,0.7,0.5,0
0.71,24995.27393934,0.71,0.5,0
0.72,24995.27393934,0.72,0.5,0
0.73,24995.27393934,0.73,0.5,0
0.74,24995.27393934,0.74,0.5,0
0.75,24995.27393934,0.75,0.5,0
0.76,24995.27393934,0.76,0.5,0
0.77,24995.27393934,0.77,0.5,0
0.78,24995.27393934,0.78,0.5,0
0.79,24995.27393934,0.79,0.5,0
0.8,24995.27393934,0.8,0.5,0
0.81,24995.27393934,0.81,0.5,0
0.82,24995.27393934,0.82,0.5,0
0.83,24995.27393934,0.83,0.5,0
0.84,24995.27393934,0.84,0.5,0
0.85,24995.27393934,0.85,0.5,0
0.86,24995.27393934,0.86,0.5,0
0.87,24995.27393934,0.87,0.5,0
0.88,24995.27393934,0.88,0.5,0
0.89,24995.27393934,0.89,0.5,0
0.9,24995.27393934,0.9,0.5,0
0.91,24995.27393934,0.91,0.5,0
0.92,24995.27393934,0.92,0.5,0
0.93,24995.27393934,0.93,0.5,0
0.94,24995.27393934,0.94,0.5,0
0.95,24995.27393934,0.95,0.5,0
0.96,24995.27393934,0.96,0.5,0
0.97,24995.27393934,0.97,0.5,0
0.98,24995.27393934,0.98,0.5,0
0.99,24995.27393934,0.99,0.5,0
1,24995.27393934,1,0.5,0
1.01,17464.176378365,1.01,0.5,0
1.02,17364.176378365,1.02,0.5,0
1.03,17264.176378365,1.03,0.5,0
1.04,17164.176378365,1.04,0.5,0
1.05,17064.176378365,1.05,0.5,0
1.06,16964.176378365,1.06,0.5,0
1.07,16864.176378365,1.07,0.5,0
1.08,16764.176378365,1.08,0.5,0
1.09,16664.176378365,1.09,0.5,0
1.1,16564.176378365,1.1,0.5,0
1.11,16464.176378365,1.11,0.5,0
1.12,16364.176378365,1.12,0.5,0
1.13,16264.176378365,1.13,0.5,0
1.14,16164.176378365,1.14,0.5,0
1.15,16064.176378365,1.15,0.5,0
1.16,15964.176378365,1.16,0.5,0
1.17,15864.176378365,1.17,0.5,0
1.18,15764.176378364,1.18,0.5,0
1.19,15664.176378364,1.19,0.5,0
1.2,15564.176378364,1.2,0.5,0
1.21,15464.176378364,1.21,0.5,0
1.22,15364.176378364,1.22,0.5,0
1.23,15264.176378364,1.23,0.5,0
1.24,15164.176378364,1.24,0.5,0
1.25,15064.176378364,1.25,0.5,0
1.26,14964.176378365,1.26,0.5,0
1.27,14864.176378365,1.27,0.5,0
1.28,14764.176378365,1.28,0.5,0
1.29,14664.176378365,1.29,0.5,0
1.3,14564.176378365,1.3,0.5,0
1.31,14464.176378365,1.31,0.5,0
1.32,14364.176378365,1.32,0.5,0
1.33,14264.176378365,1.33,0.5,0
1.34,14164.176378365,1.34,0.5,0
1.35,14064.176378365,1.35,0.5,0
1.36,13964.176378365,1.36,0.5,0
1.37,13864.176378365,1.37,0.5,0
1.38,13764.176378365,1.38,0.5,0
1.39,13664.176378365,1.39,0.5,0
1.4,13564.176378365,1.4,0.5,0
1.41,13464.176378365,1.41,0.5,0
1.42,13364.176378365,1.42,0.5,0
1.43,13264.176378365,1.43,0.5,0
1.44,13164.176378365,1.44,0.5,0
1.45,13064.176378365,1.45,0.5,0
1.46,12964.176378365,1.46,0.5,0
1.47,12864.176378365,1.47,0.5,0
1.48,12764.176378365,1.48,0.5,0
1.49,12664.176378365,1.49,0.5,0
1.5,12564.176378365,1.5,0.5,0
1.51,12464.176378365,1.51,0.5,0
1.52,12364.176378365,1.52,0.5,0
1.53,12264.176378365,1.53,0.5,0
1.54,12164.176378365,1.54,0.5,0
1.55,12064.176378365,1.55,0.5,0
1.56,11964.176378365,1.56,0.5,0
1.57,11864.176378365,1.57,0.5,0
1.58,11764.176378365,1.58,0.5,0
1.59,11664.176378365,1.59,0.5,0
1.6,11564.176378365,1.6,0.5,0
1.61,11464.176378365,1.61,0.5,0
1.62,11364.176378365,1.62,0.5,0
1.63,11264.176378365,1.63,0.5,0
1.64,11164.176378365,1.64,0.5,0
1.65,11064.176378365,1.65,0.5,0
1.66,10964.176378365,1.66,0.5,0
1.67,10864.176378365,1.67,0.5,0
1.68,10764.176378365,1.68,0.5,0
1.69,10664.176378365,1.69,0.5,0
1.7,10564.176378365,1.7,0.5,0
1.71,10464.176378365,1.71,0.5,0
1.72,10364.176378365,1.72,0.5,0
1.73,10264.176378365,1.73,0.5,0
1.74,10164.176378365,1.74,0.5,0
1.75,10064.176378365,1.75,0.5,0
1.76,9964.1763783647,1.76,0.5,0
1.77,9864.1763783647,1.77,0.5,0
1.78,9764.1763783647,1.78,0.5,0
1.79,9664.1763783647,1.79,0.5,0
1.8,9564.1763783647,1.8,0.5,0
1.81,9464.1763783647,1.81,0.5,0
1.82,9364.1763783647,1.82,0.5,0
1.83,9264.1763783648,1.83,0.5,0
1.84,9164.1763783648,1.84,0.5,0
1.85,9064.1763783648,1.85,0.5,0
1.86,8964.1763783648,1.86,0.5,0
1.87,8864.1763783648,1.87,0.5,0
1.88,8764.1763783648,1.88,0.5,0
1.89,8664.1763783648,1.89,0.5,0
1.9,8564.1763783648,1.9,0.5,0
1.91,8464.1763783648,1.91,0.5,0
1.92,8364.1763783648,1.92,0.5,0
1.93,8264.1763783648,1.93,0.5,0
1.94,8164.1763783648,1.94,0.5,0
1.95,8064.1763783648,1.95,0.5,0
1.96,7964.1763783648,1.96,0.5,0
1.97,7864.1763783648,1.97,0.5,0
1.98,7764.1763783648,1.98,0.5,0
1.99,7664.1763783648,1.99,0.5,0
2,7564.1763783648,2,0.5,0
2.01,4967.5831074342,2.01,0.5,0
2.02,4922.5822074207,2.02,0.5,0
2.03,4877.5813074072,2.03,0.5,0
2.04,4832.5804073937,2.04,0.5,0
2.05,4787.5795073802,2.05,0.5,0
2.06,4742.5786073667,2.06,0.5,0
2.07,4697.5777073532,2.07,0.5,0
2.08,4652.5768073397,2.08,0.5,0
2.09,4607.5759073262,2.09,0.5,0
2.1,4562.5750073127,2.1,0.5,0
2.11,4517.5741072992,2.11,0.5,0
2.12,4472.5732072857,2.12,0.5,0
2.13,4427.5723072722,2.13,0.5,0
2.14,4382.5714072587,2.14,0.5,0
2.15,4337.5705072452,2.15,0.5,0
2.16,4292.5696072317,2.16,0.5,0
2.17,4247.5687072183,2.17,0.5,0
2.18,4202.5678072048,2.18,0.5,0
2.19,4157.5669071913,2.19,0.5,0
2.2,4112.5660071778,2.2,0.5,0
2.21,4067.5651071643,2.21,0.5,0
2.22,4022.5642071508,2.22,0.5,0
2.23,3977.5633071373,2.23,0.5,0
2.24,3932.5624071238,2.24,0.5,0
2.25,3887.5615071103,2.25,0.5,0
2.26,3842.5606070968,2.26,0.5,0
2.27,3797.5597070833,2.27,0.5,0
2.28,3752.5588070698,2.28,0.5,0
2.29,3707.5579070563,2.29,0.5,0
2.3,3662.5570070428,2.3,0.5,0
2.31,3617.5561070293,2.31,0.5,0
2.32,3572.5552070158,2.32,0.5,0
2.33,3527.5543070023,2.33,0.5,0
2.34,3482.5534069888,2.34,0.5,0
2.35,3437.5525069753,2.35,0.5,0
2.36,3392.5516069618,2.36,0.5,0
2.37,3347.5507069483,2.37,0.5,0
2.38,3302.5498069348,2.38,0.5,0
2.39,3257.5489069213,2.39,0.5,0
2.4,3212.5480069078,2.4,0.5,0
2.41,3167.5471068943,2.41,0.5,0
2.42,3122.5462068808,2.42,0.5,0
2.43,3077.5453068673,2.43,0.5,0
2.44,3032.5444068538,2.44,0.5,0
2.45,2987.5435068403,2.45,0.5,0
2.46,2942.5426068268,2.46,0.5,0
2.47,2897.5417068133,2.47,0.5,0
2.48,2852.5408067998,2.48,0.5,0
2.49,2807.5399067863,2.49,0.5,0
2.5,2762.5390067728,2.5,0.5,0
2.51,2717.5381067593,2.51,0.5,0
2.52,2672.5372067458,2.52,0.5,0
2.53,2627.5363067323,2.53,0.5,0
2.54,2582.5354067188,2.54,0.5,0
2.55,2537.5345067053,2.55,0.5,0
2.56,2492.5336066919,2.56,0.5,0
2.57,2447.5327066784,2.57,0.5,0
2.58,2402.5318066649,2.58,0.5,0
2.59,2357.5309066514,2.59,0.5,0
2.6,2312.5300066379,2.6,0.5,0
2.61,2267.5291066244,2.61,0.5,0
2.62,2222.5282066109,2.62,0.5,0
2.63,2177.5273065974,2.63,0.5,0
2.64,2132.5264065839,2.64,0.5,0
2.65,2087.5255065704,2.65,0.5,0
2.66,2042.5246065569,2.66,0.5,0
2.67,1997.5237065434,2.67,0.5,0
2.68,1952.5228065299,2.68,0.5,0
2.69,1907.5219065164,2.69,0.5,0
2.7,1862.5210065029,2.7,0.5,0
2.71,1817.5201064894,2.71,0.5,0
2.72,1772.5192064759,2.72,0.5,0
2.73,1727.5183064624,2.73,0.5,0
2.74,1682.5174064489,2.74,0.5,0
2.75,1637.5165064354,2.75,0.5,0
2.76,1592.5156064219,2.76,0.5,0
2.77,1547.5147064084,2.77,0.5,0
2.78,1502.5138063949,2.78,0.5,0
2.79,1457.5129063814,2.79,0.5,0
2.8,1412.5120063679,2.8,0.5,0
2.81,1367.5111063544,2.81,0.5,0
2.82,1322.5102063409,2.82,0.5,0
2.83,1277.5093063274,2.83,0.5,0
2.84,1232.5084063139,2.84,0.5,0
2.85,1187.5075063004,2.85,0.5,0
2.86,1142.5066062869,2.86,0.5,0
2.87,1097.5057062734,2.87,0.5,0
2.88,1052.5048062599,2.88,0.5,0
2.89,1007.5039062464,2.89,0.5,0
2.9,962.50300623288,2.9,0.5,0
2.91,917.50210621938,2.91,0.5,0
2.92,872.50120620588,2.92,0.5,0
2.93,827.50030619239,2.93,0.5,0
2.94,782.49940617889,2.94,0.5,0
2.95,737.49850616539,2.95,0.5,0
2.96,692.49760615189,2.96,0.5,0
2.97,647.4967061384,2.97,0.5,0
2.98,602.49580612489,2.98,0.5,0
2.99,557.49490611139,2.99,0.5,0
3,512.49400609789,3,0.5,0
3.01,4.1001746031856e-12,3.01,0.5,0
3.02,3.6811638665543e-12,3.02,0.5,0
3.03,3.1070345816441e-12,3.03,0.5,0
3.04,2.5855336254958e-12,3.04,0.5,0
3.05,2.3645753038108e-12,3.05,0.5,0
3.06,2.2015988535807e-12,3.06,0.5,0
3.07,2.3326828931731e-12,3.07,0.5,0
3.08,2.4344612185746e-12,3.08,0.5,0
3.09,2.9225747001573e-12,3.09,0.5,0
3.1,3.2454553682762e-12,3.1,0.5,0
3.11,3.5251192662224e-12,3.11,0.5,0
3.12,3.6910713659539e-12,3.12,0.5,0
3.13,3.7830667457812e-12,3.13,0.5,0
3.14,3.8932288931016e-12,3.14,0.5,0
3.15,3.7423975991339e-12,3.15,0.5,0
3.16,3.4402731535418e-12,3.16,0.5,0
3.17,3.2626228751997e-12,3.17,0.5,0
3.18,3.1462960915149e-12,3.18,0.5,0
3.19,3.0645249157892e-12,3.19,0.5,0
3.2,2.8668999665707e-12,3.2,0.5,0
3.21,2.9173212188874e-12,3.21,0.5,0
3.22,2.7043910238847e-12,3.22,0.5,0
3.23,2.5337323999754e-12,3.23,0.5,0
3.24,2.2583700155417e-12,3.24,0.5,0
3.25,1.9866998115253e-12,3.25,0.5,0
3.26,1.7025933138055e-12,3.26,0.5,0
3.27,1.2989666680485e-12,3.27,0.5,0
3.28,1.1036432576799e-12,3.28,0.5,0
3.29,7.7221648659967e-13,3.29,0.5,0
3.3,5.3351342063488e-13,3.3,0.5,0
3.31,1.7516173053637e-13,3.31,0.5,0
3.32,-2.7157118369024e-14,3.32,0.5,0
3.33,-4.1310815119291e-13,3.33,0.5,0
3.34,-8.157911120524e-13,3.34,0.5,0
3.35,-1.1617789753269e-12,3.35,0.5,0
3.36,-1.5000584811203e-12,3.36,0.5,0
3.37,-1.9188918821485e-12,3.37,0.5,0
3.38,-2.3353857779216e-12,3.38,0.5,0
3.39,-2.5208517015394e-12,3.39,0.5,0
3.4,-2.4037997188621e-12,3.4,0.5,0
3.41,-2.0965130136667e-12,3.41,0.5,0
3.42,-2.0069043142725e-12,3.42,0.5,0
3.43,-2.1195883070355e-12,3.43,0.5,0
3.44,-1.7595239136094e-12,3.44,0.5,0
3.45,-1.7575739002413e-12,3.45,0.5,0
3.46,-1.5660489816497e-12,3.46,0.5,0
3.47,-1.2596985313743e-12,3.47,0.5,0
3.48,-1.01689243539e-12,3.48,0.5,0
3.49,-9.4346145036258e-13,3.49,0.5,0
3.5,-7.2078408153892e-13,3.5,0.5,0
3.51,-5.056397540834e-13,3.51,0.5,0
3.52,7.5085089137171e-14,3.52,0.5,0
3.53,4.5557115205088e-13,3.53,0.5,0
3.54,7.2649558472411e-13,3.54,0.5,0
3.55,7.0449093847831e-13,3.55,0.5,0
3.56,4.3902344567456e-13,3.56,0.5,0
3.57,8.1953668884299e-14,3.57,0.5,0
3.58,-3.16303792069e-13,3.58,0.5,0
3.59,-5.1517192542021e-13,3.59,0.5,0
3.6,-9.4791704104808e-13,3.6,0.5,0
3.61,-1.3572706939142e-12,3.61,0.5,0
3.62,-1.7620566221459e-12,3.62,0.5,0
3.63,-2.1423058833575e-12,3.63,0.5,0
3.64,-2.4655592171377e-12,3.64,0.5,0
3.65,-2.6597833696836e-12,3.65,0.5,0
3.66,-2.9264625379854e-12,3.66,0.5,0
3.67,-2.9308536485298e-12,3.67,0.5,0
3.68,-2.9610518017881e-12,3.68,0.5,0
3.69,-2.7236713037522e-12,3.69,0.5,0
3.7,-2.4480841338395e-12,3.7,0.5,0
3.71,-2.174557761909e-12,3.71,0.5,0
3.72,-1.9539700496863e-12,3.72,0.5,0
3.73,-1.4769163036225e-12,3.73,0.5,0
3.74,-1.0959118387646e-12,3.74,0.5,0
3.75,-7.8553466323592e-13,3.75,0.5,0
3.76,-6.3417751436021e-13,3.76,0.5,0
3.77,-5.433358589563e-13,3.77,0.5,0
3.78,-4.3005259389775e-13,3.78,0.5,0
3.79,-3.8071867262104e-13,3.79,0.5,0
3.8,-6.3506900939087e-13,3.8,0.5,0
3.81,-8.411326438783e-13,3.81,0.5,0
3.82,-8.4364781798286e-13,3.82,0.5,0
3.83,-1.0927892507359e-12,3.83,0.5,0
3.84,-1.1186105811105e-12,3.84,0.5,0
3.85,-9.8111367116446e-13,3.85,0.5,0
3.86,-1.1724428617806e-12,3.86,0.5,0
3.87,-1.2664447446113e-12,3.87,0.5,0
3.88,-1.1868114226024e-12,3.88,0.5,0
3.89,-1.2656726436969e-12,3.89,0.5,0
3.9,-1.4468942135421e-12,3.9,0.5,0
3.91,-1.2970373688628e-12,3.91,0.5,0
3.92,-1.0762819012761e-12,3.92,0.5,0
3.93,-9.9198609394177e-13,3.93,0.5,0
3.94,-7.5279785123196e-13,3.94,0.5,0
3.95,-5.3466668623104e-13,3.95,0.5,0
3.96,-4.5569290743159e-13,3.96,0.5,0
3.97,-4.2433660808936e-13,3.97,0.5,0
3.98,-3.575596572615e-13,3.98,0.5,0
3.99,-2.3719109009409e-13,3.99,0.5,0
4,-2.0898705892842e-14,4,0.5,0
